הפטרת שבת פרה אשכנז	{{דף פרשה|יחזקאל|לו|טז|לו|לח}}
הפטרת שבת פסח אשכנז	{{דף פרשה|יחזקאל|לז|א|לז|יד}}
הפטרת ויגש אשכנז	{{דף פרשה|יחזקאל|לז|טו|לז|כח}}
הפטרת שבת סוכות אשכנז	{{דף פרשה|יחזקאל|לח|יח|לט|טז}}
הפטרת תצוה אשכנז	{{דף פרשה|יחזקאל|מג|י|מג|כז}}
הפטרת אמור אשכנז	{{דף פרשה|יחזקאל|מד|טו|מד|לא}}
הפטרת שבת החודש אשכנז	{{דף פרשה|יחזקאל|מה|טז|מו|יח}}
הפטרת במדבר אשכנז	{{דף פרשה|הושע|ב|א|ב|כב}}
הפטרת ויצא אשכנז	{{דף פרשה|הושע|יב|יג|יד|י}}
הפטרת וילך אשכנז	{{דף פרשה|הושע|יד|ב|יד|י}}
הפטרת וישב אשכנז	{{דף פרשה|עמוס|ב|ו|ג|ח}}
הפטרת קדושים אשכנז	{{דף פרשה|עמוס|ט|ז|ט|טו}}
הפטרת יום כיפור מנחה אשכנז	{{דף פרשה|יונה|א|א|ד|יא}}
הפטרת בלק אשכנז	{{דף פרשה|מיכה|ה|ו|ו|ח}}
הפטרת שבועות ב אשכנז	{{דף פרשה|חבקוק|ג|א|ג|יט}}
הפטרת בהעלותך אשכנז	{{דף פרשה|זכריה|ב|יד|ד|ז}}
הפטרת שבת חנוכה א אשכנז	{{דף פרשה|זכריה|ב|יד|ד|ז}}
הפטרת סוכות א אשכנז	{{דף פרשה|זכריה|יד|א|יד|כא}}
הפטרת תולדות אשכנז	{{דף פרשה|מלאכי|א|א|ב|ז}}
הפטרת שבת הגדול אשכנז	{{דף פרשה|מלאכי|ג|ד|ג|כד}}
הפטרת הברכה ספרד	{{דף פרשה|יהושע|א|א|א|ט}}
הפטרת שלח ספרד	{{דף פרשה|יהושע|ב|א|ב|כד}}
הפטרת פסח א ספרד	{{דף פרשה|יהושע|ה|ב|ו|כז}}
הפטרת בשלח ספרד	{{דף פרשה|שופטים|ה|א|ה|לא}}
הפטרת חקת ספרד	{{דף פרשה|שופטים|יא|א|יא|לג}}
הפטרת נשא ספרד	{{דף פרשה|שופטים|יג|ב|יג|כה}}
הפטרת ראש השנה א ספרד	{{דף פרשה|שמואל א|א|א|ב|י}}
הפטרת שמיני ספרד	{{דף פרשה|שמואל ב|ו|א|ו|יט}}
הפטרת קרח ספרד	{{דף פרשה|שמואל א|יא|יד|יב|כב}}
הפטרת שבת זכור ספרד	{{דף פרשה|שמואל א|טו|א|טו|לד}}
הפטרת ערב ראש חודש ספרד	{{דף פרשה|שמואל א|כ|יח|כ|מב}}
הפטרת האזינו ספרד	{{דף פרשה|שמואל ב|כב|א|כב|נא}}
הפטרת פסח ז ספרד	{{דף פרשה|שמואל ב|כב|א|כב|נא}}
הפטרת חיי שרה ספרד	{{דף פרשה|מלכים א|א|א|א|לא}}
הפטרת ויחי ספרד	{{דף פרשה|מלכים א|ב|א|ב|יב}}
הפטרת מקץ ספרד	{{דף פרשה|מלכים א|ג|טו|ד|א}}
הפטרת וירא ספרד	{{דף פרשה|מלכים ב|ד|א|ד|כג}}
הפטרת תזריע ספרד	{{דף פרשה|מלכים ב|ד|מב|ה|יט}}
הפטרת תרומה ספרד	{{דף פרשה|מלכים א|ה|כו|ו|יג}}
