ezor1	sugqjr	ezor2	sugmqor	sfr	prq	psuq	citut	hsbr	m	tarik_hosfa
בית שאן	נקרא גם	בית השטה	אחר					בית שאן = סקיתפוליס = עיר השיטים = בית השיטה , וגם על פי הקבלה בתנ"ך	אביתר	2004-08-30 19:12:11
בית שאן	נקרא גם	בית שן	אותיות						אביתר	2004-08-30 19:10:46
בית שאן	בתוך	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	11	ויהי למנשה ביששכר ובאשר בית שאן		המחשב	2004-08-30 19:05:20
בית שמש	בתוך	נחלת יששכר	פסוק	יהושע	יט	22	ופגע הגבול בתבור ושחצימה ובית שמש		המחשב	2004-08-30 18:50:54
בית שמש	בתוך	נחלת נפתלי	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש		המחשב	2004-08-30 18:49:51
בית שמש	נקרא גם	עיר השמש	אותיות						המחשב	2004-08-30 18:51:31
בית שן	נקרא גם	בית דגן	פסוק	שמואל א	לא	10	..ואת-גויתו תקעו בחומת בית שן	בספר שמואל רשום הית שן (שאן) , ובדברי הימים א י 10 : בית דגון	המחשב	2004-08-30 19:10:21
בית שן	נקרא גם	בית שאן	אותיות						המחשב	2004-08-30 19:10:46
בני ברק	בתוך	נחלת דן	פסוק	יהושע	יט	45	ויהד ובני-ברק וגת-רמון		אביתר	2004-11-09 19:27:55
הבשן	בתוך	נחלת חצי מנשה - מזרח	פסוק	דברים	ג	13	ויתר הגלעד וכל הבשן ממלכת עוג נתתי לחצי שבט המנשה		אראל	2004-09-27 14:36:03
הים הגדול	ממערב ל	נחלת יהודה	פסוק	יהושע	טו	12	וגבול ים הימה הגדול וגבול זה גבול בני-יהודה סביב למשפחתם		אראל	2004-09-20 16:21:13
הירדן	ממזרח ל	נחלת בנימין	פסוק	יהושע	יח	20	והירדן יגבל-אתו לפאת-קדמה זאת נחלת בני בנימן לגבולתיה סביב למשפחתם		אביתר	2004-11-09 18:40:27
הירדן	ממערב ל	נחלת גד	פסוק	במדבר	לב	39	כי באה נחלתנו אלינו מעבר הירדן מזרחה	בני ראובן גד וחצי מנשה נחלו בעבר הירדן המזרחי	אראל	2004-09-27 21:03:36
הירדן	ממערב ל	נחלת חצי מנשה - מזרח	פסוק	במדבר	לב	39	כי באה נחלתנו אלינו מעבר הירדן מזרחה	בני ראובן גד וחצי מנשה נחלו בעבר הירדן המזרחי	אראל	2004-09-27 21:04:51
הירדן	ממערב ל	נחלת ראובן	פסוק	במדבר	לב	39	כי באה נחלתנו אלינו מעבר הירדן מזרחה	בני ראובן גד וחצי מנשה נחלו בעבר הירדן המזרחי	אראל	2004-09-27 21:02:50
חלקת השדה	נקרא גם	עיר חלקת	אותיות						המחשב	2004-08-25 18:53:55
חלקת השדה	סמוך ל	עיר שכם	פסוק	בראשית	לג	19	ויקן את חלקת השדה אשר נטה שם אהלו מיד בני חמור אבי שכם..		אביתר	2004-08-25 18:58:03
חלקת מחקק	בתוך	נחלת גד	פסוק	דברים	לג	21	וירא ראשית לו כי שם חלקת מחקק ספון	הפסוק נמצא בברכת משה לשבט גד	המחשב	2004-08-25 19:07:32
יפתח אל	בתוך	נחלת אשר	פסוק	יהושע	יט	27	ושב מזרח השמש בית דגן ופגע בזבולן ובגי יפתח-אל		המחשב	2004-08-30 20:08:47
יפתח אל	בתוך	נחלת זבולון	פסוק	יהושע	יט	14	ונסב אתו הגבול מצפון חנתן והיו תצאתיו גי יפתח-אל		המחשב	2004-08-30 20:09:58
ירושלים	בתוך	נחלת בנימין	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ..		אביתר	2004-10-20 20:49:12
כפר העמנה	בתוך	נחלת בנימין	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן		אביתר	2004-10-20 20:35:07
מגדל אל	בתוך	נחלת נפתלי	פסוק	יהושע	יט	38	ויראון ומגדל-אל חרם ובית-ענת ובית שמש..		אביתר	2004-11-08 18:46:15
מוסבת שם	בתוך	נחלת ראובן	פסוק	במדבר	לב	38	ואת נבו ואת בעל מעון מוסבת שם ואת שבמה		אביתר	2005-03-07 19:44:19
נחלת אפרים	מכיל את	בית אל	פסוק	דברי הימים א	ז	28	..ומשבותם בית-אל .. ולמזרח נערן ולמערב גזר .. ושכם .. עד-עיה		אביתר	2004-09-26 18:49:34
נחלת אפרים	מכיל את	בית חורון עליון	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון		אביתר	2004-09-21 17:42:44
נחלת אפרים	מכיל את	בית חורון תחתון	פסוק	יהושע	טז	3	וירד ימה אל-גבול היפלטי עד-גבול בית-חורון תחתון ועד-גזר והיו תצאתיו ימה		אביתר	2004-09-22 18:34:04
נחלת אפרים	מצפון ל	נחלת בנימין	פסוק	יהושע	יח	11	ויצא גבול גורלם בין בני יהודה ובין בני יוסף	נחלת יהודה מדרום לנחלת אפרים, ונחלת בנימין נמצאת ביניהם	המחשב	2004-08-24 09:14:25
נחלת אפרים	מדרום ל	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	10	נגבה לאפרים וצפונה למנשה		אביתר	2004-09-20 16:11:10
נחלת אפרים	מכיל את	עיר אדר	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון		אביתר	2004-09-21 17:39:50
נחלת אפרים	מכיל את	עיר אוזן	משפחה						אביתר	2004-10-04 18:40:30
נחלת אפרים	מכיל את	עיר גזר	פסוק	יהושע	טז	10	ולא הורישו את-הכנעני היושב בגזר וישב הכנעני בקרב אפרים ..		אביתר	2004-09-21 18:17:50
נחלת אפרים	מכיל את	עיר ינוח	פסוק	יהושע	טז	6	..ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 18:04:55
נחלת אפרים	מכיל את	עיר יריחו	פסוק	יהושע	טז	7	וירד מינוחה עטרות ונערתה ופגע ביריחו ויצא הירדן		אביתר	2004-09-21 18:08:25
נחלת אפרים	מכיל את	עיר מכמתת	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 17:47:13
נחלת אפרים	מכיל את	עיר נערה	פסוק	יהושע	טז	7	וירד מינוחה עטרות ונערתה ופגע ביריחו ויצא הירדן		אביתר	2004-09-21 18:06:21
נחלת אפרים	מכיל את	עיר נערן	פסוק	דברי הימים א	ז	28	..ומשבותם בית-אל .. ולמזרח נערן ולמערב גזר .. ושכם .. עד-עיה		אביתר	2004-09-26 18:56:03
נחלת אפרים	מכיל את	עיר עטרות	פסוק	יהושע	טז	5	..ויהי גבול נחלתם מזרחה עטרות אדר עד-בית חורון עליון		אביתר	2004-09-21 17:30:26
נחלת אפרים	מכיל את	עיר עיה	פסוק	דברי הימים א	ז	28	..ומשבותם בית-אל .. ולמזרח נערן ולמערב גזר .. ושכם .. עד-עיה		אביתר	2004-09-26 18:57:18
נחלת אפרים	מכיל את	עיר צפון	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון	המכמתת = סוכות , סוכות ליד צפון	אביתר	2004-08-31 19:15:57
נחלת אפרים	מכיל את	עיר קנה	פסוק	יהושע	טז	8	מתפוח ילך הגבול ימה נחל קנה והיו תצאתיו הימה		אביתר	2004-09-21 18:13:39
נחלת אפרים	מכיל את	עיר שארה	משפחה						אביתר	2004-10-04 18:46:09
נחלת אפרים	מכיל את	עיר שכם	פסוק	דברי הימים א	ז	28	..ומשבותם בית-אל .. ולמזרח נערן ולמערב גזר .. ושכם .. עד-עיה		אביתר	2004-09-26 18:51:36
נחלת אפרים	מכיל את	עיר שלה	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 17:58:28
נחלת אפרים	מכיל את	עיר תאנה	פסוק	יהושע	טז	6	ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה		אביתר	2004-09-21 17:55:18
נחלת אפרים	מכיל את	עיר תמנה	פסוק	שופטים	ב	9	ויקברו אותו בגבול נחלתו בתמנת-חרס בהר אפרים מצפון להר-געש		אביתר	2004-09-21 18:25:05
נחלת אפרים	מכיל את	עיר תפוח	פסוק	יהושע	טז	8	מתפוח ילך הגבול ימה נחל קנה והיו תצאתיו הימה		אביתר	2004-09-21 18:11:29
נחלת אפרים	מכיל את	עיר תרמה	אחר					העיר תרמה / ארומה / מרמה , שכנה ליד שכם (בהר אפרים)	אביתר	2004-10-04 19:11:22
נחלת אפרים	מכיל את	תמנת חרס	פסוק	שופטים	ב	9	ויקברו אותו בגבול נחלתו בתמנת-חרס בהר אפרים מצפון להר-געש		אביתר	2004-09-21 18:27:14
נחלת אשר	מכיל את	בית דגן	פסוק	יהושע	יט	27	ושב מזרח השמש בית דגן ופגע בזבולן		אביתר	2004-08-30 19:04:10
נחלת אשר	מכיל את	בית העמק	פסוק	יהושע	יט	27	..ופגע בזבולן ובגי יפתח אל צפונה בית העמק ונעיאל..		אביתר	2004-08-31 19:35:10
נחלת אשר	מצפון ל	נחלת חצי מנשה - מערב	פסוק	יהושע	יז	10	..ובאשר יפגעון מצפון וביששכר ממזרח..		אביתר	2004-09-05 19:04:38
נחלת אשר	ממערב ל	נחלת נפתלי	פסוק	יהושע	יט	34	ופגע בזבולן מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש		אביתר	2004-09-05 19:10:45
נחלת אשר	מכיל את	עיר אכזיב	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד-עיר מבצר-צר ושב הגבול חסה והיו תצאתיו הימה מחבל אכזיבה		אביתר	2004-09-21 18:48:10
נחלת אשר	מכיל את	עיר אכשף	פסוק	יהושע	יט	25	ויהי גבולם חלקת וחלי ובטן ואכשף	אכשף מוזכרת בנחל אשר	אביתר	2004-08-29 18:31:08
נחלת אשר	מכיל את	עיר אלמלך	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל ובשיחור לבנת	אלמלך מוזכרת בנחלת אשר	אביתר	2004-08-29 18:44:46
נחלת אשר	מכיל את	עיר אפק	פסוק	יהושע	יט	30	ועמה ואפק ורחב ערים עשרים ושתים וחצריהן		אביתר	2004-09-21 18:52:42
נחלת אשר	מכיל את	עיר בטן	פסוק	יהושע	יט	24	ויהי גבולם חלקת וחלי ובטן ואכשף		אביתר	2004-08-29 03:26:37
נחלת אשר	מכיל את	עיר חלב	פסוק	יהושע	יט	29	..ושב הגבול חסה והיו תצאתיו הימה מחבל אכזיבה	נראה לי שהעיר מ-חבל = א-חלב = חלב-ה = חלב	אביתר	2004-09-21 19:04:53
נחלת אשר	מכיל את	עיר חלי	פסוק	יהושע	יט	24	ויצא הגורל החמישי למטה בני אשר... ויהי גבולם חלקת וחלי ובטן ואכשף...		אביתר	2004-08-25 19:17:41
נחלת אשר	מכיל את	עיר חלקת	פסוק	יהושע	יט	24	ויצא הגורל החמישי למטה בני אשר... ויהי גבולם חלקת וחלי ובטן ואכשף...		אביתר	2004-08-25 18:41:41
נחלת אשר	מכיל את	עיר חמון	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		אביתר	2004-09-02 19:22:32
נחלת אשר	מכיל את	עיר חסה	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד-עיר מבצר-צר ושב הגבול חסה		אביתר	2004-09-07 19:34:38
נחלת אשר	מכיל את	עיר כבול	פסוק	יהושע	יט	27	בית העמק ונעיאל ויצא אל כבול משמאל		אביתר	2004-09-02 19:01:15
נחלת אשר	מכיל את	עיר כרמל	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	כרמל רשומה בנחלת אשר	אביתר	2004-08-29 18:59:12
נחלת אשר	מכיל את	עיר לבנת	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	לבנת רשומה בנחלת אשר	אביתר	2004-08-29 20:02:47
נחלת אשר	מכיל את	עיר משאל	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	משאל רשומה בנחלת אשר	אביתר	2004-08-29 18:58:32
נחלת אשר	מכיל את	עיר נעיאל	פסוק	יהושע	יט	27	ופגע בזבולן ובגי יפתח אל צפונה בית העמק ונעיאל		אביתר	2004-09-02 18:53:19
נחלת אשר	מכיל את	עיר עבדון	פסוק	יהושע	כא	30	וממטה אשר את משאל ואת מגרשה ואת עבדון..		המחשב	2004-09-02 19:05:00
נחלת אשר	מכיל את	עיר עברן	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		אביתר	2004-09-02 19:02:53
נחלת אשר	מכיל את	עיר עמה	פסוק	יהושע	יט	30	ועמה ואפק ורחב ערים עשרים ושתים וחצריהן		אביתר	2004-09-21 18:51:15
נחלת אשר	מכיל את	עיר עמעד	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	עמעד רשומה בנחלת אשר	אביתר	2004-08-29 18:57:43
נחלת אשר	מכיל את	עיר צידון	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		אביתר	2004-09-05 18:40:30
נחלת אשר	מכיל את	עיר צפון	פסוק	יהושע	יט	27	ופגע בזבולן ובגי יפתח-אל צפונה בית העמק		אביתר	2004-08-31 19:03:01
נחלת אשר	מכיל את	עיר צר	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד עיר מבצר צר ושב הגבול חסה		אביתר	2004-09-07 19:30:49
נחלת אשר	מכיל את	עיר קנה	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה..		אביתר	2004-09-05 18:33:08
נחלת אשר	מכיל את	עיר רבה	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		אביתר	2004-09-05 18:46:49
נחלת אשר	מכיל את	עיר רחוב	פסוק	יהושע	יט	28	ועברן ורחב וחמון וקנה עד צידון רבה		אביתר	2004-09-02 19:07:21
נחלת אשר	מכיל את	עיר רמה	פסוק	יהושע	יט	29	ושב הגבול הרמה ועד עיר מבצר צר..		אביתר	2004-09-05 18:55:24
נחלת אשר	מכיל את	עיר שיחור	פסוק	יהושע	יט	26	ואלמלך ועמעד ומשאל ופגע בכרמל הימה ובשיחור לבנת	שיחור רשומה בנחלת אשר	אביתר	2004-08-29 19:15:56
נחלת בנימין	מכיל את	בית אל	פסוק	יהושע	יח	22	ובית הערבה וצמרים ובית-אל		אביתר	2004-10-20 20:28:11
נחלת בנימין	מכיל את	בית הערבה	פסוק	יהושע	יח	22	ובית הערבה וצמרים ובית אל		אביתר	2004-10-28 21:57:23
נחלת בנימין	מכיל את	בית חגלה	פסוק	יהושע	יח	21	והיו הערים למטה בני בנימן למשפחותיהם יריחו ובית-חגלה ועמק קציץ		אביתר	2004-10-20 20:13:29
נחלת בנימין	ממערב ל	הירדן	פסוק	יהושע	יח	20	והירדן יגבל-אתו לפאת-קדמה זאת נחלת בני בנימן לגבולתיה סביב למשפחתם		אביתר	2004-11-09 18:40:27
נחלת בנימין	מכיל את	ירושלים	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ..		אביתר	2004-10-20 20:49:12
נחלת בנימין	מכיל את	כפר העמנה	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן		אביתר	2004-10-20 20:35:07
נחלת בנימין	מדרום ל	נחלת אפרים	פסוק	יהושע	יח	11	ויצא גבול גורלם בין בני יהודה ובין בני יוסף	נחלת יהודה מדרום לנחלת אפרים, ונחלת בנימין נמצאת ביניהם..	אראל	2004-08-24 09:14:25
נחלת בנימין	מצפון ל	נחלת יהודה	פסוק	יהושע	יח	11	ויצא גבול גורלם בין בני יהודה ובין בני יוסף	נחלת יהודה מדרום לנחלת יוסף, ונחלת בנימין נמצאת ביניהם	אראל	2004-08-24 09:14:37
נחלת בנימין	מכיל את	עיר בארות	פסוק	יהושע	יח	25	גבעון והרמה ובארות		אביתר	2004-10-20 20:42:14
נחלת בנימין	מכיל את	עיר גבע	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן		אביתר	2004-10-20 20:38:23
נחלת בנימין	מכיל את	עיר גבעון	פסוק	יהושע	יח	25	גבעון והרמה ובארות		אביתר	2004-10-20 20:40:05
נחלת בנימין	מכיל את	עיר יריחו	פסוק	יהושע	יח	21	והיו הערים למטה בני בנימן למשפחותיהם יריחו ובית-חגלה ועמק קציץ		אביתר	2004-10-20 20:00:27
נחלת בנימין	מכיל את	עיר ירפאל	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה		אביתר	2004-10-20 20:46:59
נחלת בנימין	מכיל את	עיר כפירה	פסוק	יהושע	יח	26	והמצפה והכפירה והמצה		אביתר	2004-10-20 20:44:30
נחלת בנימין	מכיל את	עיר מצה	פסוק	יהושע	יח	26	והמצפה והכפירה והמצה		אביתר	2004-10-20 20:45:09
נחלת בנימין	מכיל את	עיר מצפה	פסוק	יהושע	יח	26	והמצפה והכפירה והמצה		אביתר	2004-10-20 20:43:39
נחלת בנימין	מכיל את	עיר עוים	פסוק	יהושע	יח	23	והעוים והפרה ועפרה		אביתר	2004-10-20 20:31:41
נחלת בנימין	מכיל את	עיר עפני	פסוק	יהושע	יח	24	וכפר העמנה והעפני וגבע ערים שתים-עשרה וחצריהן		אביתר	2004-10-20 20:36:55
נחלת בנימין	מכיל את	עיר עפרה	פסוק	יהושע	יח	23	והעוים והפרה ועפרה		אביתר	2004-10-20 20:33:06
נחלת בנימין	מכיל את	עיר פרה	פסוק	יהושע	יח	23	והעוים והפרה ועפרה		אביתר	2004-10-04 18:52:57
נחלת בנימין	מכיל את	עיר צמרים	פסוק	יהושע	יח	22	ובית הערבה וצמרים ובית-אל		אביתר	2004-10-20 20:25:58
נחלת בנימין	מכיל את	עיר קציץ	פסוק	יהושע	יח	21	והיו הערים למטה בני בנימן למשפחותיהם יריחו ובית-חגלה ועמק קציץ		אביתר	2004-10-20 20:23:36
נחלת בנימין	מכיל את	עיר רמה	פסוק	יהושע	יח	25	גבעון והרמה ובארות		אביתר	2004-09-05 18:56:36
נחלת בנימין	מכיל את	עיר רקם	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה		אביתר	2004-10-20 20:46:15
נחלת בנימין	מכיל את	עיר תראלה	פסוק	יהושע	יח	27	ורקם וירפאל ותראלה		אביתר	2004-10-20 20:47:33
נחלת בנימין	מכיל את	צלע האלף	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ..		אביתר	2004-10-20 20:48:39
נחלת בנימין	מכיל את	קרית יערים	פסוק	יהושע	יח	28	וצלע האלף והיבוסי היא ירושלם גבעת קרית ערים ..		אביתר	2004-10-20 20:49:50
נחלת גד	מכיל את	בית הרם	פסוק	יהושע	יג	27	ובעמק בית הרם ובית נמרה וסכות וצפון..		אביתר	2004-09-05 18:59:00
נחלת גד	מכיל את	בית הרן	פסוק	במדבר	לב	34	ואת בית נמרה ואת בית הרן ערי מבצר..		אביתר	2004-09-05 19:00:08
נחלת גד	ממזרח ל	הירדן	פסוק	במדבר	לב	39	כי באה נחלתנו אלינו מעבר הירדן מזרחה	בני ראובן גד וחצי מנשה נחלו בעבר הירדן המזרחי	אראל	2004-09-27 21:03:36
נחלת גד	מכיל את	חלקת מחקק	פסוק	דברים	לג	21	וירא ראשית לו כי שם חלקת מחקק ספון	הפסוק נמצא בברכת משה לשבט גד	אביתר	2004-08-25 19:07:32
נחלת גד	מכיל את	עיר בטנים	פסוק	יהושע	יג	26	ומחשבון עד רמת המצפה ובטנים וממחנים עד גבול לדבר		אביתר	2004-08-29 03:27:08
נחלת גד	מכיל את	עיר יעזר	פסוק	יהושע	יג	25	ויהי להם הגבול יעזר וכל-ערי הגלעד וחצי ארץ בני עמון ..		אביתר	2005-03-07 20:10:42
נחלת גד	מכיל את	עיר עמק	פסוק	יהושע	יג	24	ויתן משה למטה גד... ובעמק בית הרם ובית נמרה וסכות וצפון		אביתר	2004-08-31 19:30:38
נחלת גד	מכיל את	עיר צפון	פסוק	יהושע	יג	27	ובעמק בית הרם ובית נמרה וסכות וצפון		אביתר	2004-08-31 18:57:24
נחלת גד	מכיל את	עיר רבה	פסוק	יהושע	יג	25	..וחצי ארץ בני עמון עד-ערוער אשר על-פני רבה		אביתר	2004-09-05 18:48:01
נחלת גד	מכיל את	עיר רחוב	אחר					לפי הברכה לגד : " ברוך מרחיב גד כלביא ""	אביתר	2004-09-02 19:14:23
נחלת דן	מכיל את	בני ברק	פסוק	יהושע	יט	45	ויהד ובני-ברק וגת-רמון		אביתר	2004-11-09 19:27:55
נחלת דן	מכיל את	עיר אילון	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה		אביתר	2004-11-09 19:06:54
נחלת דן	מכיל את	עיר אלתקה	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת		אביתר	2004-11-09 19:12:52
נחלת דן	מכיל את	עיר אשתאול	פסוק	יהושע	יט	41	ויהי גבול נחלתם צרעה ואשתאול ועיר שמש		אביתר	2004-11-09 19:02:51
נחלת דן	מכיל את	עיר בעלת	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת		אביתר	2004-11-09 19:14:04
נחלת דן	מכיל את	עיר גבתון	פסוק	יהושע	יט	44	ואלתקה וגבתון ובעלת		אביתר	2004-11-09 19:13:28
נחלת דן	מכיל את	עיר יהוד	פסוק	יהושע	יט	45	ויהד ובני-ברק וגת-רמון		אביתר	2004-11-09 19:25:38
נחלת דן	מכיל את	עיר יפו	פסוק	יהושע	יט	46	ומי הירקון והרקון עם-הגבול מול יפו		אביתר	2004-11-09 19:32:20
נחלת דן	מכיל את	עיר ירקון	פסוק	יהושע	יט	46	ומי הירקון והרקון עם-הגבול מול יפו		אביתר	2004-11-09 19:31:38
נחלת דן	מכיל את	עיר יתלה	פסוק	יהושע	יט	42	ושעלבין ואילון ויתלה		אביתר	2004-11-09 19:07:30
נחלת דן	מכיל את	עיר לשם	פסוק	יהושע	יט	47	ויצא גבול-בני-דן מהם ויעלו בני-דן וילחמו עם-לשם וילכדו אותה ..		אביתר	2004-11-09 19:36:38
